id,word,sum_log_prob,sum_original_metrics_nae,sum_projected_metrics_nae
1.367,an,-4.219875335693358,4.491684436798097,6.634440422058105
1.368,end,-0.262962102890015,2.824702262878418,5.072629451751709
1.369,to,-0.039472129195929,5.921574115753174,6.089659690856934
1.370,their,-5.015280723571777,5.859363555908202,6.912230014801025
1.371,ambitions .,-8.085216039791703,18.713372707366943,22.432472705841064
1.372,"However ,",-5.400094963610172,5.913725852966309,11.305753231048584
1.373,there,-4.276176452636719,4.734142303466797,6.395764350891112
1.374,was,-2.439018487930298,5.294837951660156,6.110415458679199
1.375,one,-4.332301139831543,4.558625221252441,6.410270690917969
1.376,"huntsman ,",-29.865472078323364,17.879917860031128,23.741760253906250
1.377,who,-1.110568046569824,5.690608501434326,6.020521640777588
1.378,was,-2.385257482528687,6.058827400207520,6.717848300933838
1.379,still,-5.136415958404541,5.166804313659668,6.177255630493164
1.380,wet,-8.774436950683594,4.541364192962647,6.003748893737793
1.381,behind,-7.878993034362793,5.016507148742676,6.014461040496826
1.382,the,-0.867862164974213,4.391532897949219,5.754347324371338
1.383,"ears ,",-11.058021068572998,13.069362401962280,15.952808380126953
1.384,who,-2.044179439544678,6.019981384277344,6.215735912322997
1.385,decided,-5.976038455963135,5.330821990966797,6.144305229187013
1.386,the,-3.493670463562012,5.364945411682129,6.203774929046631
1.387,prize,-7.262791156768799,3.586202621459961,4.568635940551758
1.388,was,-0.658911645412445,4.451395511627197,5.151579856872559
1.389,worth,-2.821769416332245,8.896584510803223,11.025271415710449
1.390,a,-2.519216537475586,5.658118247985840,6.203152179718018
1.391,"shot ,",-9.405245542526245,8.777897357940674,10.486894607543945
1.392,in,-4.423173904418945,4.123229980468750,5.242657184600830
1.393,spite,-6.310237407684326,7.743269443511963,9.622889995574953
1.394,of,-0.010653173550963,5.903413295745850,6.224486351013184
1.395,the,-0.993933260440826,6.152443885803223,6.704488754272461
1.396,boar 's,-16.741933957091533,23.626737833023071,30.565173149108890
1.397,reputation .,-7.008357765153051,14.721345901489258,17.061723709106445
1.398,The,-1.715715885162354,0.000000000000000,0.000000000000000
1.399,huntsman,-25.350632667541504,12.739067792892456,18.205596923828125
1.400,discovered,-8.093059852719309,7.545241355895996,10.924101829528807
1.401,the,-2.097844123840332,4.872694492340088,6.052490711212157
1.402,boar,-12.625333547592163,8.469034790992737,13.354783535003662
1.403,preferred,-13.863625526428224,5.336940765380858,6.097784519195558
1.404,to,-1.510903596878052,5.614226341247559,6.147027492523192
1.405,come,-5.882681846618652,4.602284908294678,5.825794219970702
1.406,out,-3.646485567092896,4.202765941619873,5.517681121826172
1.407,in,-2.880049943923950,3.619022369384766,4.946502685546875
1.408,the,-1.300612926483154,3.844423532485962,5.005764961242676
1.409,middle,-3.899082660675049,3.452853918075561,5.498360633850098
1.410,of,-0.061257101595402,4.922698497772217,5.524870872497559
1.411,the,-0.669908702373505,4.356117248535156,5.366120815277100
1.412,day .,-4.796770408749580,14.753384590148926,19.721603870391849
1.413,So,-5.562164306640625,0.000000000000000,0.000000000000000
1.414,he,-3.672598600387573,6.014409065246582,5.394229888916017
1.415,went,-4.393005132675172,6.909633398056030,9.319952964782717
1.416,to,-0.947610974311829,4.056541442871094,6.161549568176270
1.417,the,-1.401459932327271,3.037202119827271,4.592255115509033
1.418,wood,-8.721055269241331,6.107598781585692,9.968581676483154
1.419,by,-9.225491523742676,5.091125011444092,6.664455413818358
1.420,the,-2.081945419311523,3.618218898773194,5.447623729705811
1.421,well,-8.502306938171388,3.036442756652832,5.094839096069336
1.422,with,-5.329716205596924,4.984684944152832,5.918931961059570
1.423,his,-1.249271154403686,5.484016418457031,6.233063697814941
1.424,good,-7.150934219360352,3.956130266189575,5.333033084869385
1.425,"bow ,",-11.322147130966188,10.954706668853760,14.868945598602295
1.426,to,-4.209290504455566,4.609738826751709,6.246719837188722
1.427,bide,-15.526750564575195,8.857857704162598,10.804039478302002
1.428,his,-3.111360073089600,4.723609924316406,5.928202152252197
1.429,time .,-7.177222669124603,12.009375572204590,16.018481254577637
1.430,Around,-9.808030128479004,1.638802528381348,4.018290042877196
1.431,"noontime ,",-8.870171964168549,7.573312997817993,13.621869564056396
1.432,the,-1.649367809295654,3.421346187591553,4.578321456909180
